;index;y;x;osmid;ref;highway;lon;lat;geometry;loc_x;loc_y;loc;stop_type_index
0;277090010;-4294008.636627916;970556.5235725133;277090010; 12 30 35 ;tram_stop;144.9728963;-37.8078584;POINT (970556.5235725133 -4294008.636627916);2441.632297474891;2773.73453712184;{2441.632297474891,2773.73453712184};0
1;767584117;-4293964.335772446;970387.976603275;767584117; 12 35 ;tram_stop;144.9709568;-37.8075947;POINT (970387.976603275 -4293964.335772446);2273.085328236688;2729.43368165195;{2273.085328236688,2729.43368165195};0
2;767592577;-4294023.190515253;970609.4972217657;767592577; 12 30 35 ;tram_stop;144.9735065;-37.8079469;POINT (970609.4972217657 -4294023.190515253);2494.60594672733;2788.2884244583547;{2494.60594672733,2788.2884244583547};0
3;774678062;-4292980.416863849;971112.2950205067;774678062; 200 207 ;bus_stop;144.9781349;-37.7982477;POINT (971112.2950205067 -4292980.416863849);2997.4037454683566;1745.5147730549797;{2997.4037454683566,1745.5147730549797};1
4;779075381;-4292994.937481575;971182.6494856209;779075381; 966 ;bus_stop;144.9789405;-37.7983223;POINT (971182.6494856209 -4292994.937481575);3067.7582105825422;1760.0353907803074;{3067.7582105825422,1760.0353907803074};1
5;779075382;-4293007.866660278;971177.7739566746;779075382; 200 207 966 ;bus_stop;144.9788984;-37.7984415;POINT (971177.7739566746 -4293007.866660278);3062.882681636256;1772.9645694838837;{3062.882681636256,1772.9645694838837};1
6;780979469;-4293529.407528271;968515.8732773552;780979469; 57 ;tram_stop;144.949471;-37.805174;POINT (968515.8732773552 -4293529.407528271);400.9820023168577;2294.5054374765605;{400.9820023168577,2294.5054374765605};0
7;780992745;-4293506.066555074;968503.5454241644;780992745; 57 ;tram_stop;144.9493094;-37.8049753;POINT (968503.5454241644 -4293506.066555074);388.65414912602864;2271.1644642800093;{388.65414912602864,2271.1644642800093};0
8;781137165;-4293312.936428491;968542.5075927569;781137165; 57 ;tram_stop;144.9495579;-37.8032213;POINT (968542.5075927569 -4293312.936428491);427.6163177185226;2078.0343376966193;{427.6163177185226,2078.0343376966193};0
9;1280096210;-4292312.34574114;968521.9340102356;1280096210; 58 59 ;tram_stop;144.9483435;-37.7943072;POINT (968521.9340102356 -4292312.34574114);407.0427351972321;1077.443650345318;{407.0427351972321,1077.443650345318};0
10;1280096226;-4292268.084885595;968480.587801214;1280096226; 58 59 ;tram_stop;144.947835;-37.7939444;POINT (968480.587801214 -4292268.084885595);365.6965261755977;1033.1827948009595;{365.6965261755977,1033.1827948009595};0
11;1281064369;-4292569.79775906;968737.2384039802;1281064369; 58 59 ;tram_stop;144.951018;-37.7964371;POINT (968737.2384039802 -4292569.79775906);622.3471289417939;1334.8956682654098;{622.3471289417939,1334.8956682654098};0
12;1287222216;-4292795.646368564;970183.4751881532;1287222216; 200 207 ;bus_stop;144.9675063;-37.7973243;POINT (970183.4751881532 -4292795.646368564);2068.583913114853;1560.7442777696997;{2068.583913114853,1560.7442777696997};1
13;1287339285;-4292442.309033082;970266.6088180575;1287339285; 1 6 ;tram_stop;144.9680936;-37.7941059;POINT (970266.6088180575 -4292442.309033082);2151.7175430190982;1207.40694228746;{2151.7175430190982,1207.40694228746};0
14;1287339313;-4292443.030458066;970262.9446993433;1287339313; 1 6 ;tram_stop;144.9680531;-37.7941152;POINT (970262.9446993433 -4292443.030458066);2148.0534243049333;1208.1283672712743;{2148.0534243049333,1208.1283672712743};0
15;1492169276;-4292984.254590382;969875.289906184;1492169276; 1 3 5 6 16 64 67 72 ;tram_stop;144.9642256;-37.7992482;POINT (969875.289906184 -4292984.254590382);1760.3986311455956;1749.3524995874614;{1760.3986311455956,1749.3524995874614};0
16;1492169366;-4292931.54576236;969877.3218440091;1492169366; 1 3 5 6 16 64 67 72 ;tram_stop;144.9641966;-37.7987762;POINT (969877.3218440091 -4292931.54576236);1762.4305689707398;1696.6436715656891;{1762.4305689707398,1696.6436715656891};0
17;1877451198;-4293263.474227589;969502.1328771361;1877451198; 401 402 403 ;bus_stop;144.9603031;-37.8020314;POINT (969502.1328771361 -4293263.474227589);1387.2416020977544;2028.572136794217;{1387.2416020977544,2028.572136794217};1
